course_row_id,source_row_number,city,aoi_type,accept_time,delivery_time,ds,delivery_duration_minutes
lade-jilin-00001,1,Jilin,14,09-25 08:08:00,09-25 11:32:00,0925,204
lade-jilin-00002,2,Jilin,14,08-21 09:11:00,08-21 15:00:00,0821,349
lade-jilin-00003,3,Jilin,14,06-08 15:42:00,06-08 17:24:00,0608,102
lade-jilin-00004,4,Jilin,14,09-03 14:03:00,09-03 16:31:00,0903,148
lade-jilin-00005,5,Jilin,14,06-07 14:54:00,06-07 16:58:00,0607,124
lade-jilin-00006,6,Jilin,14,08-27 10:07:00,08-27 12:01:00,0827,114
lade-jilin-00007,7,Jilin,14,07-25 07:39:00,07-25 09:34:00,0725,115
lade-jilin-00008,8,Jilin,14,05-19 15:18:00,05-19 17:19:00,0519,121
lade-jilin-00009,9,Jilin,14,06-09 09:37:00,06-09 10:40:00,0609,63
lade-jilin-00010,10,Jilin,1,08-31 08:58:00,08-31 17:00:00,0831,482
lade-jilin-00011,11,Jilin,1,09-05 08:33:00,09-05 10:27:00,0905,114
lade-jilin-00012,12,Jilin,1,09-04 08:26:00,09-04 11:04:00,0904,158
lade-jilin-00013,13,Jilin,1,07-16 07:52:00,07-16 13:40:00,0716,348
lade-jilin-00014,14,Jilin,1,07-15 07:48:00,07-15 12:04:00,0715,256
lade-jilin-00015,15,Jilin,1,07-03 07:50:00,07-03 09:15:00,0703,85
lade-jilin-00016,16,Jilin,1,06-16 07:37:00,06-16 11:39:00,0616,242
lade-jilin-00017,17,Jilin,1,06-14 07:53:00,06-14 09:52:00,0614,119
lade-jilin-00018,18,Jilin,1,08-15 07:55:00,08-15 10:52:00,0815,177
lade-jilin-00019,19,Jilin,1,09-26 08:40:00,09-26 14:25:00,0926,345
lade-jilin-00020,20,Jilin,1,08-04 08:17:00,08-04 10:38:00,0804,141
lade-jilin-00021,21,Jilin,1,08-31 08:58:00,08-31 11:42:00,0831,164
lade-jilin-00022,22,Jilin,1,09-19 07:43:00,09-19 12:27:00,0919,284
lade-jilin-00023,23,Jilin,1,08-27 09:10:00,08-27 12:51:00,0827,221
lade-jilin-00024,24,Jilin,1,08-23 08:09:00,08-23 13:04:00,0823,295
lade-jilin-00025,25,Jilin,1,05-29 08:15:00,05-29 09:44:00,0529,89
lade-jilin-00026,26,Jilin,1,08-16 07:58:00,08-16 14:12:00,0816,374
lade-jilin-00027,27,Jilin,1,09-20 08:15:00,09-20 11:49:00,0920,214
lade-jilin-00028,28,Jilin,1,09-08 08:41:00,09-08 12:12:00,0908,211
