ames_order,overall_quality,year_built,year_sold,first_floor_sqft,second_floor_sqft,living_area_sqft,basement_sqft,garage_cars,garage_area_sqft,sale_price_usd
1,6,1960,2010,1656,0,1656,1080,2,528,215000
2,5,1961,2010,896,0,896,882,1,730,105000
3,6,1958,2010,1329,0,1329,1329,1,312,172000
4,7,1968,2010,2110,0,2110,2110,2,522,244000
5,5,1997,2010,928,701,1629,928,2,482,189900
6,6,1998,2010,926,678,1604,926,2,470,195500
7,8,2001,2010,1338,0,1338,1338,2,582,213500
8,8,1992,2010,1280,0,1280,1280,2,506,191500
9,8,1995,2010,1616,0,1616,1595,2,608,236500
10,7,1999,2010,1028,776,1804,994,2,442,189000
11,6,1993,2010,763,892,1655,763,2,440,175900
12,6,1992,2010,1187,0,1187,1168,2,420,185000
13,6,1998,2010,789,676,1465,789,2,393,180400
14,7,1990,2010,1341,0,1341,1300,2,506,171500
15,8,1985,2010,1502,0,1502,1488,2,528,212000
16,8,2003,2010,1690,1589,3279,1650,3,841,538000
17,8,1988,2010,1080,672,1752,559,2,492,164000
18,9,2010,2010,1856,0,1856,1856,3,834,394432
19,4,1951,2010,864,0,864,864,2,400,141000
20,6,1978,2010,2073,0,2073,1542,2,500,210000
21,6,1977,2010,1844,0,1844,1844,2,546,190000
22,7,1974,2010,1173,0,1173,1053,2,528,170000
23,7,2000,2010,814,860,1674,814,2,663,216000
24,6,1970,2010,1004,0,1004,1004,2,480,149000
25,5,1971,2010,1078,0,1078,1078,2,500,149900
26,5,1968,2010,1056,0,1056,1056,1,304,142000
27,4,1970,2010,882,0,882,882,2,525,126000
28,4,1971,2010,864,0,864,864,0,0,115000
29,7,1999,2010,1337,0,1337,1405,2,511,184000
30,6,1971,2010,483,504,987,483,1,264,96000
31,5,1971,2010,525,567,1092,525,1,320,105500
32,6,1971,2010,525,567,1092,525,1,264,88000
33,6,1977,2010,1069,0,1069,1069,2,440,127500
34,6,1975,2010,855,601,1456,855,2,440,149900
35,7,1975,2010,836,0,836,836,1,308,120000
36,6,1978,2010,855,601,1456,855,2,440,146000
37,9,2009,2010,1627,707,2334,1590,3,751,376162
38,8,2007,2010,1704,0,1704,1704,3,772,306000
39,9,2009,2010,1940,0,1940,1930,3,606,395192
40,8,2009,2010,1544,0,1544,1544,3,868,290941
41,7,2005,2010,1541,0,1541,1541,2,532,220000
42,9,2005,2010,1698,0,1698,1698,3,730,275000
43,8,2005,2010,1822,0,1822,1822,3,678,259000
44,7,2004,2010,1535,0,1535,1517,2,532,214000
45,9,2009,2010,2364,0,2364,2330,3,820,611657
46,7,2009,2010,1358,0,1358,1358,2,484,224000
47,9,2003,2010,2696,0,2696,2846,3,958,500000
48,8,2002,2010,1687,563,2250,1671,3,756,320000
49,9,2005,2010,1752,0,1752,1752,2,576,319900
50,8,2006,2010,1370,0,1370,1370,2,484,205000
51,7,2003,2010,764,862,1626,764,2,474,175500
52,6,2005,2010,1324,0,1324,1324,2,430,199500
53,7,2006,2010,1145,0,1145,1145,2,437,160000
54,8,2004,2010,1269,0,1269,1256,2,430,192000
55,7,2004,2010,744,630,1374,384,2,400,184500
56,6,2002,2010,860,1100,1960,860,2,440,216500
57,7,2004,2010,847,886,1733,847,2,433,185088
58,7,2000,2010,774,656,1430,384,2,400,180000
59,7,2001,2010,884,1151,2035,884,2,434,222500
60,9,1999,2010,1422,1177,2599,1393,3,779,333168
61,8,1998,2010,1645,830,2475,1629,3,962,355000
62,7,1996,2010,1720,0,1720,1720,2,527,260400
63,8,1994,2010,1500,1122,2622,1463,2,712,325000
64,8,1999,2010,1164,1106,2270,1152,3,671,290000
65,7,1998,2010,1195,644,1839,1195,2,486,221000
66,8,1995,2010,2053,1185,3238,2033,3,666,410000
67,8,2005,2010,1595,0,1595,1595,3,880,221500
68,7,2009,2010,1218,0,1218,1218,2,676,204500
69,7,2009,2010,764,783,1547,756,2,614,215200
70,8,2008,2010,1566,0,1566,1566,2,750,262500
71,7,2004,2010,991,956,1947,991,2,678,254900
72,6,2005,2010,1468,0,1468,1468,2,528,271500
73,7,2004,2010,956,1128,2084,956,2,618,233000
74,7,2004,2010,831,828,1659,831,2,484,181000
75,7,1994,2010,1222,888,2110,948,2,463,205000
76,6,1980,2010,923,0,923,923,1,264,143000
77,6,1992,2010,1055,790,1845,1055,2,462,189000
78,6,1979,2010,918,0,918,918,1,264,99500
79,6,1984,2010,752,0,752,744,1,264,125000
80,7,1993,2010,1014,730,1744,996,2,457,194500
81,6,1984,2010,1097,0,1097,1040,2,480,152000
82,6,1980,2010,888,676,1564,650,2,476,171000
83,5,1920,2010,1012,0,1012,816,1,429,67500
84,6,1978,2010,1318,584,1902,0,2,539,112000
85,5,1961,2010,1155,0,1155,1109,2,576,148000
86,5,1965,2010,894,0,894,894,1,336,138500
87,5,1967,2010,900,0,900,882,1,280,122000
88,5,1963,2010,1040,0,1040,1040,1,308,133000
89,5,1962,2010,1040,0,1040,1040,1,260,127000
90,6,1974,2010,1494,0,1494,1208,2,461,169000
91,7,1992,2010,1061,862,1923,750,2,564,190000
92,8,1993,2010,1251,1098,2349,1231,3,762,362500
93,8,1992,2010,1402,823,2225,1390,3,713,285000
94,7,2004,2010,1488,0,1488,1488,2,506,260000
95,7,2004,2010,840,840,1680,840,2,588,190000
96,7,2004,2010,600,600,1200,600,2,480,155000
97,7,2004,2010,600,600,1200,600,2,480,151000
98,7,2004,2010,600,600,1200,600,2,480,149500
99,6,2005,2010,600,636,1236,600,2,480,152000
100,7,2009,2010,1478,0,1478,1470,2,484,222000
101,6,2000,2010,769,804,1573,756,2,440,177500
102,6,2000,2010,756,756,1512,756,2,440,177000
103,7,1999,2010,696,720,1416,696,2,484,155000
104,7,2003,2010,530,550,1080,530,2,496,147110
105,8,2010,2010,1418,0,1418,1642,3,852,267916
106,8,2000,2010,975,873,1848,975,2,592,254000
107,8,1980,2010,788,0,788,728,2,484,155000
108,8,1978,2010,1226,0,1226,1226,2,484,206000
109,6,1976,2010,725,754,1479,725,2,475,130500
110,7,2002,2010,1492,0,1492,1492,2,596,230000
111,6,1967,2010,1829,0,1829,1829,2,535,218500
112,6,1993,2010,1280,1215,2495,1280,2,660,243500
113,6,1977,2010,1610,0,1610,1610,2,480,205000
114,6,1978,2010,1287,604,1891,1224,2,678,212500
115,7,1988,2010,980,734,1714,980,2,496,196500
116,6,1972,2010,1381,0,1381,1161,2,676,197500
117,6,1971,2010,930,715,1645,715,2,441,171000
118,5,1966,2010,1232,0,1232,1232,2,490,142250
119,6,1963,2010,1328,0,1328,1328,2,528,143000
120,4,1959,2010,1225,0,1225,950,0,0,128950
121,5,1966,2010,1209,0,1209,1209,2,504,159000
122,5,1967,2010,1510,0,1510,1510,2,517,178900
