update,mse,gradientNorm,intercept,weight_temp,weight_hum,weight_windspeed,weight_workingday,weight_hr
0,39087.1171957,393.63240395,0,0,0,0,0,0
1,25909.5610244,276.144419487,28.9593747003,11.0080589632,-7.70095889339,2.49030382775,20.1566893642,10.8555719366
2,19414.0602926,194.54312792,49.3741051449,19.4100072109,-13.2349617285,3.80048620932,33.5623726757,18.8022278595
3,16182.7702464,137.90761893,63.8750951171,25.842863627,-17.2279233398,4.35523133973,42.3144047049,24.6297818174
4,14553.3775084,98.6729522491,74.2806349985,30.7833523294,-20.1232680316,4.44088468942,47.8628240029,28.9106825009
5,13714.8201881,71.5980705652,81.8473274694,34.5894179043,-22.2351746012,4.24839942533,51.2100105489,32.0605534881
6,13269.7864058,53.0450405043,87.4435611199,37.5306876532,-23.7863264729,3.90330454881,53.0487648672,34.3817079927
7,13022.6634946,40.4718871347,91.669432077,39.8108983311,-24.9346600212,3.48655217096,53.8578009491,36.0944617039
8,12876.5294634,32.0757897919,94.9396399791,41.5844630029,-25.7923060643,3.04896741171,53.9677874267,37.3596932765
9,12782.9745572,26.551601185,97.5407856098,42.9687509306,-26.4389951431,2.62122121771,53.6070204004,38.2951208954
10,12717.5728982,22.9448345008,99.6709715347,44.0532209081,-26.9315393121,2.22067803784,52.9330097874,38.9870624711
11,12667.8405973,20.5708392907,101.467168909,44.90623736,-27.3105351985,1.85606854983,52.054323613,39.4989461235
12,12627.2922176,18.9618424502,103.024127683,45.5801741514,-27.6051003964,1.5306539942,51.0456947833,39.877479431
13,12592.4877877,17.8165006925,104.407441652,46.1152488082,-27.8362188816,1.24434868383,49.9584682494,40.1571296481
14,12561.5537408,16.9501338532,105.662573751,46.5424121738,-28.0191032842,0.995126458355,48.8278256315,40.3633835975
15,12533.4348135,16.2531689992,106.821089623,46.8855329382,-28.1648627394,0.779937886262,47.6777811717,40.5151244662
16,12507.5112053,15.6615600926,107.904962195,47.1630540189,-28.2816805683,0.595295586978,46.5246363773,40.6263684378
17,12483.3999388,15.1379102503,108.929543536,47.389252058,-28.3756461696,0.43763643714,45.3793687285,40.7075364132
18,12460.8501362,14.6601840843,109.905616121,47.5751977225,-28.4513431079,0.303535478754,44.2492832223,40.7663874257
19,12439.6867972,14.2151854121,110.840808298,47.7294897568,-28.5122653793,0.189822705429,43.1391541277,40.8087053731
20,12419.7800007,13.7948407402,111.740570732,47.858817441,-28.5611126196,0.0936374919669,42.052014205,40.8388054766
30,12273.1631164,10.3549711821,119.324634485,48.517218262,-28.6989502904,-0.325078401953,32.5916622792,40.8959909022
40,12190.1194199,7.80354906253,125.007344253,48.8221530928,-28.6144826679,-0.389638637573,25.4315528429,40.8906349882
50,12142.9444725,5.88207864467,129.289849706,49.0331694405,-28.5046831289,-0.390251890495,20.0341242377,40.8950084984
60,12116.1405186,4.43381742391,132.517772581,49.1898879702,-28.4105580106,-0.380891971541,15.9657161913,40.9022957323
70,12100.9107327,3.34214733867,134.950888615,49.3076146889,-28.3368578318,-0.371705198023,12.8990336133,40.9089797788
80,12092.2572791,2.51926270987,136.784925005,49.39626524,-28.280643575,-0.364300378873,10.5874180553,40.9143349541
90,12087.3404489,1.89898411883,138.167392558,49.4630665386,-28.2381121151,-0.358608295762,8.84495673152,40.9184520916
100,12084.5467412,1.43142701082,139.209476124,49.5134148068,-28.2060147475,-0.354291943646,7.53151467714,40.921575514
110,12082.9593766,1.07898916446,139.994983624,49.5513652087,-28.1818111852,-0.351032290096,6.54146095668,40.9239348034
120,12082.0574473,0.813326567292,140.587087882,49.5799713302,-28.1635647289,-0.348573780726,5.79517267014,40.9257143933
130,12081.5449776,0.613073909224,141.033407577,49.6015341293,-28.1498102956,-0.346720252662,5.23263126032,40.9270561109
