iteration,objective,gradient_norm,parameter_step_norm,accepted_step,backtracks,parameter_0,parameter_1,parameter_2,parameter_3,parameter_4
0,0.6931471805599453,0.44123397955093446,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
114,0.021049523778040577,0.0011378271338159233,0.036623587290040276,32.0,0,-8.71176459895815,-9.26277036235591,-8.519870660398867,0.2340466424647959,-3.6563825553037703
228,0.018123983831825667,0.0007141721280634916,0.022922122939603124,32.0,0,-10.468953332243608,-11.113666168868768,-10.26066535727011,0.1683221477308791,-4.633622417915893
342,0.01672213254477521,0.000539992543874918,0.017315099843624743,32.0,0,-11.709170340574445,-12.392158518449556,-11.473836736419601,0.12162602783994014,-5.297232447475626
456,0.015854727322510233,0.00044088805127783214,0.014130501409340471,32.0,0,-12.689894608432182,-13.398219915523189,-12.430957540442417,0.0828109473567556,-5.811738608202873
570,0.015251048013196202,0.00037550302430031443,0.012031438504947424,32.0,0,-13.509221271542476,-14.238553967103226,-13.230966343808506,0.048733273903787254,-6.2364907007603065
684,0.014801087903636833,0.0003285018137382867,0.010523452851772922,32.0,0,-14.216674042744794,-14.96503803384052,-13.922630647070834,0.018078851736722818,-6.6003098867918455
798,0.014450210505009036,0.00029276319996727286,0.009377284600886346,32.0,0,-14.84119219765409,-15.607379638896727,-14.5340904496499,-0.009864873307728445,-6.919595071587793
912,0.014167680592861439,0.00026448769244623934,0.008470734509910222,32.0,0,-15.401325387359988,-16.184419596506974,-15.083267108399513,-0.035556402454199484,-7.204661646578933
1026,0.013934662413327744,0.00024144566771347695,0.007732144020526619,32.0,0,-15.909758222327392,-16.708973833470928,-15.582378620263645,-0.059324339214732576,-7.462466496870632
1140,0.013738864687222822,0.00022223436891463384,0.007116453394819803,32.0,0,-16.375592072586695,-17.190217359047473,-16.04018209957989,-0.08142041231213491,-7.697948801679771
1254,0.013571871395419688,0.000205922913476258,0.006593772940278861,32.0,0,-16.805605358851125,-17.634980013423434,-16.46319977843379,-0.10204569857617328,-7.914756562916479
1368,0.01342769622913768,0.00019186690857275122,0.006143418736134783,32.0,0,-17.20499910331214,-18.04850486164741,-16.856439415387776,-0.1213652730986707,-8.115669976886602
1482,0.01330194740784465,0.00017960470401730738,0.005750576639180001,32.0,0,-17.577862427634155,-18.434918418829383,-17.223842151365933,-0.1395172433633477,-8.302862605963307
1596,0.01319131938448434,0.00016879601837616612,0.005404329670043914,32.0,0,-17.927476174185962,-18.79753599880417,-17.56857384190681,-0.15661876613750528,-8.47807006160195
1710,0.013093269972325036,0.0001591839378795489,0.005096437068367012,32.0,0,-18.25651823999061,-19.139067667042,-17.8932217791935,-0.1727702948449126,-8.642703155857648
1824,0.01300580776590001,0.0001505704712036666,0.0048205491293262116,32.0,0,-18.56720674251618,-19.461761632696817,-18.199931754070953,-0.18805871018214168,-8.797926254773389
1938,0.012927347844042876,0.00014280030521425375,0.004571685587064415,32.0,0,-18.86140247932814,-19.767506811761226,-18.49050613171807,-0.20255970276546,-8.944713025762415
2052,0.012856611214117804,0.00013574970393293183,0.004345879232784532,32.0,0,-19.140683931419222,-20.05790790849617,-18.766475662536525,-0.21633963071316983,-9.083887039640947
2166,0.012792553116198594,0.00012931873498676225,0.004139926406705201,32.0,0,-19.406403263647846,-20.334341499249238,-19.029153126066458,-0.22945699490134908,-9.216151951264898
2280,0.012734310866170991,0.00012342570812041902,0.003951208522237311,32.0,0,-19.65972887223313,-20.59799867448181,-19.279674116164767,-0.24196362779855338,-9.342114339892534
2394,0.012681165231301039,0.00011800311990727113,0.003777561946665873,32.0,0,-19.901678215890286,-20.849917973193495,-19.51902853779708,-0.2539056628974367,-9.46230127181119
2508,0.012632511369387285,0.00011299464610039028,0.0036171815103686394,32.0,0,-20.133143503083318,-21.091011177914922,-19.748085272152647,-0.2653243330806291,-9.577173998031409
2622,0.012587836649743795,0.00010835287668470038,0.0034685478524515974,32.0,0,-20.354912042088564,-21.322083772991146,-19.967611735124063,-0.2762566336830123,-9.6871387748334
