method,space,feature,coefficient
numpy-batch-gradient-descent,model,intercept,173.01032847247703
numpy-batch-gradient-descent,model,temp,62.723890952228842
numpy-batch-gradient-descent,model,hum,-37.116415602550063
numpy-batch-gradient-descent,model,windspeed,0.80944586599550117
numpy-batch-gradient-descent,model,workingday,2.3797187057642537
numpy-batch-gradient-descent,model,hr,47.901433843242252
numpy-lstsq,model,intercept,173.01032849472756
numpy-lstsq,model,temp,62.723890953022561
numpy-lstsq,model,hum,-37.116415602101668
numpy-lstsq,model,windspeed,0.80944586616084513
numpy-lstsq,model,workingday,2.3797186777848789
numpy-lstsq,model,hr,47.901433843258978
sklearn-linear-regression,model,intercept,173.01032849472747
sklearn-linear-regression,model,temp,62.723890953022071
sklearn-linear-regression,model,hum,-37.116415602101583
sklearn-linear-regression,model,windspeed,0.80944586616085512
sklearn-linear-regression,model,workingday,2.3797186777848922
sklearn-linear-regression,model,hr,47.901433843259021
numpy-lstsq,original-dataset-unit,intercept,50.024112570538804
numpy-lstsq,original-dataset-unit,temp,317.25354852604971
numpy-lstsq,original-dataset-unit,hum,-187.27958330364518
numpy-lstsq,original-dataset-unit,windspeed,6.5798561425634112
numpy-lstsq,original-dataset-unit,workingday,2.3797186777848789
numpy-lstsq,original-dataset-unit,hr,6.930197725726849
