instant,timestamp,hr,actual,prediction,residual
13904,2012-08-07 12:00,12,283,287.24894664082706,4.2489466408270573
13905,2012-08-07 13:00,13,253,300.19034927737431,47.19034927737431
13906,2012-08-07 14:00,14,261,323.42590088018352,62.425900880183519
13907,2012-08-07 15:00,15,306,312.77425263717066,6.7742526371706617
13908,2012-08-07 16:00,16,445,282.66121396137623,-162.33878603862377
13909,2012-08-07 17:00,17,868,302.44529346768513,-565.55470653231487
13910,2012-08-07 18:00,18,814,303.22715792155361,-510.77284207844639
13911,2012-08-07 19:00,19,610,302.27335490342364,-307.72664509657636
13912,2012-08-07 20:00,20,448,295.5633780395321,-152.4366219604679
13913,2012-08-07 21:00,21,317,287.77364678264587,-29.226353217354131
13914,2012-08-07 22:00,22,224,295.3914394752706,71.391439475270602
13915,2012-08-07 23:00,23,138,292.2700630689173,154.2700630689173
13916,2012-08-08 00:00,0,58,117.16646524149652,59.166465241496525
13917,2012-08-08 01:00,1,23,139.8057131029266,116.8057131029266
13918,2012-08-08 02:00,2,6,131.02686069295021,125.02686069295021
13919,2012-08-08 03:00,3,7,137.95705841867706,130.95705841867706
13920,2012-08-08 04:00,4,7,144.88725614440392,137.88725614440392
13921,2012-08-08 05:00,5,43,137.18881611303644,94.188816113036438
13922,2012-08-08 06:00,6,173,159.82806397446652,-13.171936025533483
13923,2012-08-08 07:00,7,482,166.75826170019337,-315.24173829980663
13924,2012-08-08 08:00,8,737,208.36129409516442,-528.63870590483555
13925,2012-08-08 09:00,9,341,232.28378267925729,-108.71621732074271
13926,2012-08-08 10:00,10,214,279.00693868848271,65.006938688482705
13927,2012-08-08 11:00,11,239,285.05346173426329,46.053461734263294
13928,2012-08-08 12:00,12,280,291.98365945999018,11.983659459990179
13929,2012-08-08 13:00,13,313,298.91385718571701,-14.086142814282994
13930,2012-08-08 14:00,14,236,307.51336441481214,71.513364414812145
13931,2012-08-08 15:00,15,278,341.72325333416154,63.723253334161541
13932,2012-08-08 16:00,16,441,327.18888506403789,-113.81111493596211
13933,2012-08-08 17:00,17,858,322.882307791546,-535.11769220845395
13934,2012-08-08 18:00,18,862,322.68179972332973,-539.31820027667027
13935,2012-08-08 19:00,19,686,303.05898972684571,-382.94101027315429
13936,2012-08-08 20:00,20,500,303.4473787833889,-196.5526212166111
13937,2012-08-08 21:00,21,381,309.78867938435633,-71.211320615643672
13938,2012-08-08 22:00,22,233,295.3914394752706,62.391439475270602
13939,2012-08-08 23:00,23,136,310.00890024619162,174.00890024619162
13940,2012-08-09 00:00,0,67,143.51598663403934,76.515986634039336
13941,2012-08-09 01:00,1,28,134.34431681235188,106.34431681235188
13942,2012-08-09 02:00,2,14,131.61641580332389,117.61641580332389
13943,2012-08-09 03:00,3,6,134.07433839156624,128.07433839156624
13944,2012-08-09 04:00,4,10,130.06188068864697,120.06188068864697
13945,2012-08-09 05:00,5,41,120.39935359872429,79.399353598724289
13946,2012-08-09 06:00,6,167,149.01071786646102,-17.989282133538978
13947,2012-08-09 07:00,7,475,166.75826170019337,-308.24173829980663
13948,2012-08-09 08:00,8,698,198.3686713150947,-499.63132868490527
13949,2012-08-09 09:00,9,353,233.3641950578662,-119.6358049421338
13950,2012-08-09 10:00,10,205,273.97810629974708,68.978106299747083
13951,2012-08-09 11:00,11,260,312.72597033959687,52.72597033959687
13952,2012-08-09 12:00,12,277,320.3437630322216,43.343763032221602
13953,2012-08-09 13:00,13,281,339.23741922757881,58.237419227578812
13954,2012-08-09 14:00,14,247,370.15348524457681,123.15348524457681
13955,2012-08-09 15:00,15,267,377.08368297030364,110.08368297030364
13956,2012-08-09 16:00,16,417,364.75531860730268,-52.244681392697316
13957,2012-08-09 17:00,17,810,377.30390383213893,-432.69609616786107
13958,2012-08-09 18:00,18,811,352.81600128645925,-458.18399871354075
13959,2012-08-09 19:00,19,623,336.15314813262603,-286.84685186737397
13960,2012-08-09 20:00,20,478,313.82034194915798,-164.17965805084202
13961,2012-08-09 21:00,21,336,312.473721519317,-23.526278480683004
13962,2012-08-09 22:00,22,259,286.50584055231195,27.505840552311952
13963,2012-08-09 23:00,23,156,282.59882932253663,126.59882932253663
13964,2012-08-10 00:00,0,85,153.33914117956277,68.339141179562773
13965,2012-08-10 01:00,1,41,160.36737876181382,119.36737876181382
13966,2012-08-10 02:00,2,20,150.83523140192364,130.83523140192364
13967,2012-08-10 03:00,3,9,154.94260064603762,145.94260064603762
13968,2012-08-10 04:00,4,7,146.7533033464349,139.7533033464349
13969,2012-08-10 05:00,5,33,153.68350107216173,120.68350107216173
13970,2012-08-10 06:00,6,44,132.31254657766755,88.312546577667547
13971,2012-08-10 07:00,7,133,137.9662522117371,4.9662522117370997
13972,2012-08-10 08:00,8,119,135.19860471258107,16.198604712581073
13973,2012-08-10 09:00,9,220,151.13905269629294,-68.860947303707064
13974,2012-08-10 10:00,10,193,165.10191635943866,-27.898083640561339
13975,2012-08-10 11:00,11,251,197.30122309909942,-53.698776900900583
