benchmark,optimizer,update,parameter,train_loss
circle-2-4-1-tanh,sgd,0,0.72,0.033522203373
circle-2-4-1-tanh,sgd,1,0.729072845822,0.031507031496
circle-2-4-1-tanh,sgd,2,0.737770403857,0.029654148006
circle-2-4-1-tanh,sgd,3,0.746117079628,0.027946898271
circle-2-4-1-tanh,sgd,4,0.754135114521,0.026370698271
circle-2-4-1-tanh,sgd,5,0.761844824184,0.024912734717
circle-2-4-1-tanh,sgd,6,0.769264806078,0.023561714334
circle-2-4-1-tanh,sgd,7,0.776412120698,0.022307653369
circle-2-4-1-tanh,sgd,8,0.783302450249,0.021141700174
circle-2-4-1-tanh,sgd,9,0.78995023797,0.020055985073
circle-2-4-1-tanh,sgd,10,0.796368810791,0.01904349288
circle-2-4-1-tanh,sgd,11,0.802570487601,0.018097954232
circle-2-4-1-tanh,sgd,12,0.808566675045,0.017213752661
circle-2-4-1-tanh,sgd,13,0.814367952513,0.016385844868
circle-2-4-1-tanh,sgd,14,0.8199841477,0.01560969209
circle-2-4-1-tanh,sgd,15,0.825424403947,0.014881200848
circle-2-4-1-tanh,sgd,16,0.830697240385,0.014196671645
circle-2-4-1-tanh,sgd,17,0.835810605778,0.013552754411
circle-2-4-1-tanh,sgd,18,0.840771926802,0.012946409713
circle-2-4-1-tanh,sgd,19,0.84558815145,0.012374874886
circle-2-4-1-tanh,sgd,20,0.850265788108,0.011835634392
circle-2-4-1-tanh,sgd,21,0.854810940819,0.011326393813
circle-2-4-1-tanh,sgd,22,0.859229341144,0.010845056977
circle-2-4-1-tanh,sgd,23,0.863526377017,0.010389705801
circle-2-4-1-tanh,sgd,24,0.867707118923,0.009958582472
circle-2-4-1-tanh,sgd,25,0.871776343662,0.009550073683
circle-2-4-1-tanh,sgd,26,0.875738555994,0.009162696644
circle-2-4-1-tanh,sgd,27,0.879598008353,0.008795086642
circle-2-4-1-tanh,sgd,28,0.88335871884,0.00844598597
circle-2-4-1-tanh,sgd,29,0.887024487684,0.00811423404
circle-2-4-1-tanh,sgd,30,0.890598912293,0.007798758551
circle-2-4-1-tanh,sgd,31,0.894085401062,0.007498567574
circle-2-4-1-tanh,sgd,32,0.897487186045,0.007212742456
circle-2-4-1-tanh,sgd,33,0.9008073346,0.006940431444
circle-2-4-1-tanh,sgd,34,0.904048760106,0.006680843943
circle-2-4-1-tanh,sgd,35,0.90721423184,0.006433245343
circle-2-4-1-tanh,sgd,36,0.910306384085,0.006196952351
circle-2-4-1-tanh,sgd,37,0.913327724545,0.005971328764
circle-2-4-1-tanh,sgd,38,0.916280642122,0.00575578165
circle-2-4-1-tanh,sgd,39,0.919167414119,0.005549757879
circle-2-4-1-tanh,sgd,40,0.921990212914,0.00535274098
