model,alpha,feature,coefficient
Ridge,0.01,MedInc,0.815678069129
Ridge,0.01,HouseAge,0.109210719372
Ridge,0.01,AveRooms,-0.232406403966
Ridge,0.01,AveBedrms,0.268575076575
Ridge,0.01,Population,-0.0043023796196
Ridge,0.01,AveOccup,-0.0260266851398
Ridge,0.01,Latitude,-0.906913517686
Ridge,0.01,Longitude,-0.883886754353
Ridge,0.1,MedInc,0.815677229573
Ridge,0.1,HouseAge,0.109220992225
Ridge,0.1,AveRooms,-0.232394066641
Ridge,0.1,AveBedrms,0.268555473746
Ridge,0.1,Population,-0.00429874867519
Ridge,0.1,AveOccup,-0.0260279733137
Ridge,0.1,Latitude,-0.906816596156
Ridge,0.1,Longitude,-0.883789354106
Ridge,1.0,MedInc,0.815668608009
Ridge,1.0,HouseAge,0.109323566789
Ridge,1.0,AveRooms,-0.232270473574
Ridge,1.0,AveBedrms,0.268359362925
Ridge,1.0,Population,-0.00426249245959
Ridge,1.0,AveOccup,-0.0260408349995
Ridge,1.0,Latitude,-0.905848741451
Ridge,1.0,Longitude,-0.882816694977
Ridge,10.0,MedInc,0.81556033708
Ridge,10.0,HouseAge,0.110334123925
Ridge,10.0,AveRooms,-0.231013366065
Ridge,10.0,AveBedrms,0.266390562913
Ridge,10.0,Population,-0.0039051832565
Ridge,10.0,AveOccup,-0.0261674731548
Ridge,10.0,Latitude,-0.896304188179
Ridge,10.0,Longitude,-0.87322242783
Ridge,100.0,MedInc,0.812723378807
Ridge,100.0,HouseAge,0.119102873752
Ridge,100.0,AveRooms,-0.216976144144
Ridge,100.0,AveBedrms,0.246378337427
Ridge,100.0,Population,-0.000796123663674
Ridge,100.0,AveOccup,-0.0272592522054
Ridge,100.0,Latitude,-0.812481311953
Ridge,100.0,Longitude,-0.788780800812
LinearRegression,none,MedInc,0.815678162159
LinearRegression,none,HouseAge,0.10920957777
LinearRegression,none,AveRooms,-0.232407774532
LinearRegression,none,AveBedrms,0.268577254574
LinearRegression,none,Population,-0.00430278311769
LinearRegression,none,AveOccup,-0.0260265419869
LinearRegression,none,Latitude,-0.906924288275
LinearRegression,none,Longitude,-0.883897578113
